order_id,customer_name,email,order_date,product_name,category,quantity,price,city,payment_method,delivery_status,total_amount
, Ahmed Khan ,.ahmed.khan.@yahoo.com,2024-11-23,Smart Watch,Electronics,1.0,0,,Cash,pendng,0.0
1.0,hina qureshi,hina.qureshi@gmail.com,,Airpods Pro,Appliances,3.0,abc,Karachi,Bank Transfer,Cancelled,
,Hassan Khan,hassan.khan@gmailcom,10-28-2023,Smart Watch,Electronics,,abc,Karachi,Card,Delivered,
3.0,Hassan Mirza,hassan.mirza@hotmail.com,11-17-2024,Samsung Galaxy S22,Appliances,,65175,karacchi,cash ,Cancelled,
,Hina Butt,hina.butt@gmail.com,02-02-2023,Bluetooth Speaker,Appliances,,83490,karacchi,cash ,,
5.0,sara chaudhry,sara.chaudhry@gmial.com,,Airpods Pro,Appliances,-1.0,24831,Karachi,Card,,-24831.0
6.0,BILAL ZAFAR,bilal.zafar@gmial.com,2024-07-20,Samsung Galaxy S22,Applinces,,90174,Multan,cash ,Pending,
7.0,Ali Chaudhry,ali.chaudhry@gmial.com,10-02-2024,Microwave,Appliances,3.0,0,Lahore,CARD,Cancelled,0.0
8.0,Ali Malik,ali.malik@hotmail.com,2023-09-04,Samsung Galaxy S22,Electronics,5.0,0,karacchi,CARD,Pending,0.0
9.0, Hina Zafar ,.hina.zafar.@gmial.com,07/12/2024,Smart TV,,-1.0,abc,Karachi,Card,Pending,
10.0, Ayesha Khan ,.ayesha.khan.,2024-12-25,HP Lpt0p,Electronics,3.0,135782,Multan,,delievered,407346.0
11.0,Hina Raza,hina.raza@gmial.com,,HP Lpt0p,,-1.0,abc,karacchi,,Delivered,
,Ahmed Khan,ahmed.khan@gmail.com,,MacBook Air,Accessories,4.0,abc,islmabad,Cash,Delivered,
,Hina Khan,hina.khan@yahoo.com,,HP Laptop,Electronics,-1.0,abc,Multan,cash ,Cancelled,
14.0,HINA MIRZA,hina.mirza@gmial.com,03-04-2023,iPh0ne 14 Pr0,eletronics,,42270,islmabad,Cash,Pending,
